,BersaljuBesok,SuhuMin,SuhuMax,Suhu9am,Suhu3pm,Penguapan,SinarMatahari,Awan9am,Awan3pm,Kelembaban9am,Kelembaban3pm
32519,0,10.1,17.5,13.8,15.8,0.2,0.5,7.0,7.0,98.0,79.0
32525,0,16.4,27.3,24.3,25.8,5.2,9.5,4.0,6.0,62.0,57.0
32528,0,6.7,20.9,14.9,20.2,4.0,13.7,3.0,1.0,65.0,51.0
32529,0,13.8,30.7,25.4,29.8,9.8,10.6,0.0,1.0,49.0,20.0
32531,0,10.0,22.3,18.1,16.5,6.0,4.2,7.0,8.0,73.0,78.0
32533,0,14.5,32.4,21.3,31.1,11.2,13.6,5.0,7.0,39.0,13.0
32541,0,15.7,28.9,22.3,27.9,4.6,5.1,7.0,6.0,66.0,45.0
32546,0,4.0,23.4,10.6,23.0,2.8,10.0,0.0,1.0,79.0,29.0
32548,0,4.0,14.0,10.4,12.7,4.0,3.6,6.0,7.0,63.0,49.0
32553,0,11.5,18.0,13.8,16.4,3.8,1.7,4.0,7.0,82.0,69.0
32556,0,11.5,22.8,15.7,21.1,3.8,6.7,6.0,7.0,69.0,50.0
32565,1,10.4,14.8,12.0,13.5,0.2,3.8,7.0,7.0,76.0,64.0
32566,0,8.3,24.5,15.4,24.1,6.0,10.4,0.0,0.0,45.0,22.0
32567,0,17.6,23.6,20.8,22.8,7.2,5.5,7.0,3.0,59.0,48.0
32573,0,18.7,24.6,19.2,23.8,5.6,2.7,7.0,7.0,90.0,59.0
32574,0,5.9,15.5,11.8,14.2,6.8,8.4,6.0,5.0,50.0,35.0
32575,0,8.6,24.1,13.6,23.3,2.4,9.5,1.0,4.0,73.0,39.0
32583,1,19.8,26.7,24.8,25.6,4.2,5.9,7.0,7.0,72.0,60.0
32585,0,12.9,17.9,16.2,17.4,5.0,8.1,4.0,2.0,64.0,56.0
32586,1,7.1,14.4,10.6,12.6,0.8,2.9,8.0,3.0,96.0,71.0
32592,0,18.1,26.5,22.8,25.5,4.0,5.4,7.0,4.0,66.0,60.0
32605,0,4.0,13.0,6.5,12.5,1.6,6.8,7.0,1.0,79.0,53.0
32606,0,18.3,26.6,24.4,24.8,9.0,13.1,1.0,0.0,59.0,60.0
32608,0,13.3,25.3,18.3,24.7,6.2,11.8,2.0,0.0,64.0,38.0
32609,0,7.3,12.3,9.3,11.5,0.6,1.7,8.0,1.0,90.0,63.0
32611,0,16.8,28.2,21.4,27.0,8.2,7.8,5.0,6.0,60.0,41.0
32612,1,15.2,18.4,15.3,17.5,8.6,1.6,8.0,8.0,93.0,69.0
32616,1,-1.4,15.3,4.4,13.3,0.4,3.0,7.0,7.0,97.0,64.0
32623,0,7.9,17.2,13.0,15.7,0.6,1.6,7.0,8.0,91.0,79.0
32632,0,0.2,14.1,8.6,12.2,1.6,6.7,2.0,5.0,66.0,64.0
32634,0,6.9,14.8,10.7,13.4,3.8,1.0,7.0,7.0,86.0,57.0
32639,1,5.6,11.7,8.3,9.4,2.2,5.0,6.0,6.0,86.0,68.0
32640,0,14.9,33.5,25.4,31.7,11.2,4.3,2.0,7.0,39.0,28.0
32645,0,19.2,30.1,24.7,28.6,6.8,10.2,5.0,3.0,71.0,59.0
32648,1,20.9,30.7,23.7,24.1,9.6,5.8,7.0,7.0,64.0,69.0
32650,0,12.9,28.8,16.2,26.7,6.6,11.2,1.0,2.0,59.0,33.0
32651,0,8.8,14.8,10.3,14.2,1.2,2.3,7.0,6.0,89.0,65.0
32655,0,11.2,23.8,16.8,23.0,1.6,9.3,1.0,1.0,86.0,44.0
32656,0,15.1,20.7,18.5,18.1,4.4,5.8,2.0,7.0,49.0,67.0
32658,0,22.6,30.8,25.3,28.8,4.4,10.4,2.0,4.0,77.0,59.0
32660,0,13.9,23.1,15.2,22.1,6.8,11.2,7.0,5.0,85.0,26.0
32663,1,19.1,21.8,19.6,20.1,2.2,0.0,8.0,8.0,97.0,93.0
32664,0,9.3,23.9,17.0,23.0,5.0,10.0,1.0,2.0,45.0,26.0
32670,0,8.0,22.7,13.3,22.4,3.2,8.5,1.0,0.0,64.0,36.0
32671,0,13.5,27.5,24.2,25.5,9.8,11.0,1.0,1.0,59.0,52.0
32673,1,8.5,15.7,13.3,15.5,1.8,5.6,4.0,5.0,74.0,58.0
32675,1,6.3,19.4,10.8,18.8,4.2,0.1,8.0,8.0,54.0,37.0
32677,0,7.7,22.2,13.7,20.9,5.2,11.1,0.0,1.0,50.0,27.0
32678,0,9.6,20.4,11.4,18.8,4.6,6.8,6.0,1.0,53.0,36.0
32679,0,9.6,22.8,14.5,22.2,5.8,10.8,1.0,1.0,35.0,25.0
32680,0,8.9,15.3,12.1,14.0,3.6,4.7,4.0,6.0,69.0,60.0
32682,1,11.4,18.4,12.3,18.3,2.6,2.8,8.0,7.0,94.0,62.0
32685,0,5.2,20.4,13.8,20.2,1.4,8.9,2.0,6.0,74.0,41.0
32686,0,15.5,25.2,17.9,23.4,5.4,9.7,2.0,7.0,75.0,59.0
32687,0,14.0,27.7,22.2,24.6,6.6,9.6,0.0,1.0,72.0,61.0
32689,1,8.4,12.3,9.2,11.5,1.4,0.0,8.0,7.0,96.0,89.0
32690,1,18.4,25.1,23.3,23.0,5.6,12.1,6.0,6.0,66.0,69.0
32694,0,23.7,31.9,25.7,30.9,7.6,3.0,7.0,6.0,42.0,26.0
32695,0,19.7,27.0,21.7,25.6,6.4,11.0,2.0,1.0,67.0,54.0
32696,1,7.5,14.0,10.5,11.1,1.2,3.2,6.0,7.0,61.0,78.0
32698,1,20.9,24.2,22.5,17.1,5.8,0.0,8.0,8.0,79.0,92.0
32700,0,0.6,14.5,7.0,13.9,2.2,9.0,3.0,3.0,71.0,34.0
32704,0,11.5,29.5,20.9,28.3,4.8,10.0,3.0,3.0,27.0,20.0
32706,0,14.1,29.6,19.2,28.9,5.8,6.4,1.0,7.0,53.0,26.0
32708,1,8.7,12.6,9.2,9.5,0.8,2.1,8.0,6.0,57.0,58.0
32710,0,15.7,27.3,20.1,27.1,11.2,11.6,3.0,3.0,47.0,17.0
32713,0,8.7,25.9,17.7,25.4,4.4,10.2,1.0,5.0,54.0,27.0
32714,0,22.9,32.9,26.3,32.2,7.0,11.1,1.0,1.0,69.0,38.0
32716,1,10.0,16.2,11.9,15.1,1.6,3.0,7.0,5.0,96.0,63.0
32720,0,5.9,15.7,11.6,14.7,3.6,4.4,7.0,8.0,95.0,65.0
32724,1,13.7,15.7,14.7,14.4,6.8,1.5,8.0,8.0,100.0,86.0
32728,0,20.1,29.9,26.3,26.5,3.4,5.7,7.0,8.0,67.0,74.0
32731,0,6.8,14.3,9.0,13.6,0.8,0.0,7.0,7.0,100.0,89.0
32733,0,4.0,10.8,6.2,10.2,2.4,2.8,7.0,7.0,93.0,66.0
32736,0,17.6,29.0,18.7,27.7,5.0,7.3,8.0,2.0,88.0,23.0
32738,0,19.8,38.8,25.3,36.9,10.2,9.3,6.0,2.0,34.0,9.0
32745,0,9.4,21.5,13.0,18.4,2.8,9.0,1.0,7.0,70.0,57.0
32749,0,21.5,29.4,22.4,28.2,11.8,4.3,6.0,5.0,64.0,45.0
32752,0,12.7,18.5,16.9,17.7,3.0,10.1,1.0,1.0,63.0,55.0
32753,0,6.4,14.3,11.8,12.5,1.6,2.7,8.0,8.0,96.0,65.0
32755,0,8.0,19.5,14.3,18.9,3.6,10.0,1.0,2.0,78.0,55.0
32760,0,7.7,27.3,14.3,25.2,5.0,12.5,4.0,6.0,65.0,30.0
32761,0,15.0,20.6,18.8,19.6,3.0,9.4,2.0,7.0,61.0,57.0
32762,0,10.4,25.6,17.2,24.0,3.8,13.9,0.0,1.0,47.0,23.0
32767,0,23.7,32.9,29.4,31.8,7.6,9.5,2.0,1.0,61.0,55.0
32770,0,13.9,29.4,17.8,23.9,1.8,9.1,7.0,7.0,65.0,53.0
32771,0,10.7,20.1,11.9,18.7,1.2,6.4,2.0,6.0,89.0,69.0
32772,1,18.4,26.9,23.5,22.9,8.0,1.2,7.0,8.0,47.0,63.0
32775,0,12.3,18.8,13.8,17.5,6.0,1.3,5.0,8.0,76.0,51.0
32778,0,10.5,22.5,12.3,20.4,4.6,8.3,7.0,6.0,85.0,45.0
32783,0,11.2,24.4,17.6,22.9,3.6,11.3,7.0,3.0,50.0,50.0
32785,1,18.0,22.0,18.6,20.8,4.2,0.3,7.0,7.0,88.0,67.0
32786,0,9.1,18.8,16.6,16.6,4.0,1.8,8.0,7.0,70.0,80.0
32787,0,20.5,38.8,25.4,33.6,10.8,7.2,5.0,6.0,69.0,40.0
32788,1,9.6,18.6,15.5,17.7,2.2,5.5,7.0,3.0,63.0,63.0
32789,0,11.5,16.8,12.9,15.2,7.4,6.1,7.0,4.0,85.0,40.0
32790,0,8.9,18.9,10.7,17.1,3.2,6.7,3.0,5.0,87.0,57.0
32791,0,14.1,25.7,15.8,22.4,2.8,2.6,7.0,7.0,73.0,54.0
32794,0,17.8,24.4,19.5,23.0,4.0,6.6,7.0,7.0,67.0,53.0
32796,1,19.8,28.4,23.2,26.2,12.6,5.7,6.0,7.0,36.0,32.0
32802,1,9.2,18.4,12.7,17.6,2.2,5.3,6.0,5.0,93.0,73.0
32805,1,22.6,26.3,24.5,25.7,3.4,0.0,8.0,7.0,85.0,78.0
32806,1,11.5,19.3,17.2,18.9,2.2,9.0,3.0,3.0,66.0,59.0
32813,0,19.8,30.5,25.9,28.6,7.2,11.0,4.0,1.0,58.0,42.0
32818,0,16.3,31.2,24.6,28.9,7.2,11.2,0.0,0.0,65.0,42.0
32819,0,6.9,20.1,11.2,19.4,2.8,6.3,6.0,7.0,61.0,29.0
32820,0,3.8,12.4,4.9,11.9,2.2,8.0,7.0,2.0,95.0,52.0
32823,0,-0.4,15.5,8.0,14.8,4.0,10.1,1.0,7.0,66.0,37.0
32826,0,11.2,31.5,26.4,27.6,7.4,13.0,1.0,6.0,27.0,32.0
32836,1,17.7,19.2,18.1,17.8,1.6,0.0,8.0,8.0,92.0,97.0
32837,0,8.6,15.1,10.7,14.2,12.4,8.7,6.0,5.0,76.0,46.0
32838,0,15.2,32.5,24.2,27.7,8.0,11.5,7.0,2.0,58.0,46.0
32839,0,16.8,23.2,21.3,22.6,7.4,13.1,2.0,1.0,48.0,45.0
32850,1,16.2,20.7,19.1,18.7,7.0,2.9,7.0,8.0,55.0,72.0
32854,0,8.8,14.1,11.2,10.2,4.2,4.7,5.0,4.0,71.0,77.0
32857,0,8.2,14.1,12.0,13.5,2.2,1.7,7.0,7.0,69.0,61.0
32858,0,20.3,28.8,24.1,25.9,6.0,3.1,7.0,8.0,77.0,34.0
32863,0,26.2,32.8,30.0,31.5,11.0,10.1,4.0,1.0,63.0,52.0
32864,0,8.4,16.5,10.7,16.1,4.0,10.1,1.0,6.0,55.0,42.0
32865,0,19.2,33.4,21.8,29.0,8.8,6.7,7.0,6.0,60.0,37.0
32866,0,20.9,31.6,28.3,30.6,10.4,10.3,3.0,1.0,53.0,45.0
32867,0,15.0,27.5,21.9,26.8,5.4,10.5,0.0,1.0,38.0,24.0
32868,1,13.9,22.4,17.8,22.0,0.8,7.4,4.0,5.0,83.0,63.0
32869,0,10.5,17.7,13.4,17.6,2.2,8.3,7.0,6.0,66.0,48.0
32870,1,10.2,31.4,18.0,29.3,4.0,7.3,6.0,7.0,48.0,23.0
32878,0,14.2,27.6,23.7,25.9,8.0,12.4,1.0,1.0,57.0,48.0
32880,1,10.8,20.5,13.4,20.4,2.0,0.6,7.0,8.0,75.0,31.0
32881,1,9.7,14.5,11.5,12.7,3.4,0.7,7.0,7.0,81.0,85.0
32884,0,18.8,31.0,25.3,28.7,4.8,8.9,5.0,6.0,69.0,56.0
32887,0,7.1,26.4,16.7,24.9,9.2,13.6,1.0,4.0,43.0,27.0
32888,1,13.3,25.5,19.7,22.0,5.8,10.1,1.0,2.0,61.0,61.0
32891,0,19.4,28.0,23.6,26.8,6.4,9.9,6.0,1.0,75.0,62.0
32896,1,6.5,15.2,8.8,10.3,3.2,5.1,3.0,7.0,63.0,71.0
32898,1,8.4,15.8,8.7,12.4,2.0,4.3,5.0,7.0,84.0,89.0
32902,0,7.2,20.7,12.1,17.0,3.8,11.2,1.0,1.0,61.0,45.0
32904,1,20.8,32.4,21.0,32.2,9.0,5.0,7.0,6.0,89.0,46.0
32906,0,13.5,20.7,18.5,18.9,4.8,7.6,2.0,6.0,47.0,40.0
32909,0,21.1,28.5,24.7,26.4,6.8,7.2,4.0,2.0,58.0,47.0
32910,0,19.5,24.1,22.2,23.0,8.8,11.5,2.0,3.0,70.0,66.0
32911,0,19.6,33.1,25.0,31.9,5.6,10.6,1.0,1.0,68.0,21.0
32912,0,8.4,25.1,16.9,24.2,2.2,10.3,1.0,2.0,63.0,36.0
32913,0,8.8,15.1,10.7,13.4,1.4,2.9,7.0,4.0,88.0,67.0
32914,0,12.8,22.6,16.3,22.5,1.8,9.1,1.0,1.0,77.0,52.0
32917,1,8.7,13.3,9.4,11.2,2.6,1.8,7.0,6.0,96.0,75.0
32919,0,8.8,18.4,13.9,17.5,6.4,11.2,4.0,5.0,40.0,30.0
32928,0,14.8,20.4,18.0,17.8,6.8,9.8,1.0,5.0,41.0,55.0
32929,0,16.0,32.0,23.5,29.8,8.0,13.0,7.0,6.0,48.0,33.0
32930,0,17.3,27.7,23.4,26.8,8.6,10.9,6.0,1.0,60.0,26.0
32932,0,12.6,21.9,16.1,20.5,3.6,10.0,2.0,3.0,67.0,57.0
32935,0,6.7,19.9,12.7,18.1,5.8,9.0,5.0,2.0,70.0,43.0
32936,0,16.7,30.2,26.9,28.2,8.0,11.2,1.0,1.0,49.0,57.0
32938,0,7.1,23.1,10.1,22.7,3.0,4.3,7.0,5.0,72.0,24.0
32941,0,16.0,28.7,24.5,25.9,5.2,10.4,1.0,2.0,56.0,60.0
32944,1,13.1,24.6,18.3,22.9,3.6,5.8,7.0,7.0,77.0,58.0
32954,1,21.3,27.9,23.9,27.2,4.2,3.8,7.0,7.0,91.0,75.0
32955,0,7.9,21.7,13.3,21.0,2.0,5.6,7.0,7.0,71.0,41.0
32956,1,18.8,25.9,25.1,24.5,6.2,5.5,6.0,7.0,58.0,59.0
32963,0,13.3,20.6,16.2,20.2,3.0,1.1,7.0,8.0,50.0,45.0
32976,0,13.7,28.7,20.9,28.2,5.4,10.5,0.0,1.0,56.0,31.0
32981,0,16.4,26.6,22.1,25.5,5.4,10.8,2.0,1.0,66.0,51.0
32982,0,10.8,22.1,15.4,21.2,2.2,1.9,7.0,7.0,82.0,58.0
32986,0,2.7,22.4,10.3,22.2,3.8,11.3,0.0,2.0,78.0,41.0
32988,0,9.7,19.3,11.9,18.3,0.8,5.0,7.0,6.0,99.0,50.0
32991,0,22.5,35.7,28.4,35.1,7.6,11.3,7.0,5.0,60.0,34.0
32993,1,23.3,32.6,27.3,31.9,4.8,7.8,5.0,5.0,83.0,68.0
32995,0,2.1,14.8,5.1,14.4,1.0,8.4,0.0,2.0,89.0,49.0
33001,0,15.8,22.0,18.4,19.9,5.4,5.2,7.0,7.0,61.0,53.0
33006,1,23.1,30.4,24.5,28.7,12.6,8.3,7.0,3.0,90.0,66.0
33007,0,19.6,29.6,25.5,27.7,10.6,11.1,4.0,2.0,58.0,46.0
33012,1,23.7,30.1,24.2,28.3,6.4,0.2,8.0,8.0,85.0,71.0
33013,1,22.1,32.4,28.6,29.5,8.4,10.6,3.0,6.0,58.0,59.0
33017,0,18.9,29.5,24.4,27.7,5.0,9.8,2.0,3.0,70.0,60.0
33019,0,5.9,12.8,9.6,9.8,2.2,0.9,7.0,8.0,65.0,79.0
33020,0,-0.7,21.0,8.7,20.1,3.6,10.9,0.0,0.0,64.0,16.0
33021,0,14.3,27.2,21.3,26.0,4.8,11.7,0.0,1.0,67.0,46.0
33022,0,24.5,32.8,29.1,31.4,8.8,10.8,4.0,7.0,61.0,53.0
33023,0,21.8,32.8,26.9,30.0,6.6,10.6,5.0,6.0,75.0,59.0
33031,0,9.6,25.0,18.4,24.2,4.0,10.3,0.0,1.0,69.0,47.0
33036,1,9.9,16.6,14.6,15.1,4.2,6.1,7.0,7.0,70.0,62.0
33037,0,10.2,18.9,13.7,18.2,8.2,8.9,2.0,6.0,67.0,48.0
33038,0,8.4,27.9,17.0,27.0,4.0,10.3,7.0,4.0,54.0,24.0
33041,0,5.2,20.6,14.5,19.3,2.2,10.8,1.0,2.0,57.0,40.0
33042,0,26.3,31.7,29.7,30.8,7.2,10.4,7.0,6.0,73.0,69.0
33043,1,11.8,15.7,12.7,11.2,5.4,2.8,7.0,7.0,91.0,86.0
33044,0,14.1,29.3,20.0,28.2,7.4,9.2,1.0,7.0,50.0,15.0
33046,0,23.7,33.0,28.3,32.0,8.6,10.8,3.0,6.0,64.0,52.0
33047,0,12.5,23.8,14.0,21.5,4.6,4.4,8.0,6.0,77.0,58.0
33050,1,21.7,31.6,27.2,31.1,2.0,10.3,4.0,2.0,72.0,62.0
33051,1,10.2,16.0,12.6,14.2,0.6,2.2,7.0,7.0,93.0,81.0
33054,0,15.8,30.8,22.7,27.0,8.0,13.0,7.0,6.0,56.0,45.0
33056,1,6.9,11.2,7.0,10.8,1.4,4.0,8.0,8.0,91.0,65.0
33057,0,8.5,23.0,15.8,22.4,4.2,11.8,1.0,0.0,58.0,25.0
33058,1,22.7,28.4,26.0,26.0,6.6,6.7,3.0,5.0,67.0,65.0
33059,1,13.2,23.5,16.3,22.1,3.0,9.1,7.0,3.0,66.0,31.0
33062,1,12.4,25.0,18.4,22.2,10.6,4.4,7.0,7.0,57.0,54.0
33063,0,19.1,24.9,23.7,23.5,9.2,2.2,3.0,8.0,60.0,69.0
33065,0,2.3,12.9,6.8,12.4,1.0,8.0,1.0,2.0,91.0,53.0
33067,0,4.2,19.3,11.7,18.1,2.2,10.0,1.0,5.0,81.0,47.0
33068,1,11.5,28.0,19.0,18.9,6.8,1.9,7.0,8.0,53.0,59.0
33069,0,-2.2,18.6,6.7,18.5,4.0,10.1,0.0,0.0,59.0,16.0
33072,1,14.7,20.0,16.9,18.9,2.8,0.0,8.0,8.0,90.0,89.0
33073,0,17.8,28.1,23.7,25.6,8.8,11.0,1.0,2.0,46.0,44.0
33077,1,24.3,29.3,26.0,28.1,4.6,0.0,8.0,8.0,94.0,87.0
33078,0,16.6,35.2,25.8,34.8,11.4,11.2,0.0,0.0,21.0,7.0
33079,0,14.1,24.8,21.1,24.1,1.2,9.2,4.0,7.0,74.0,52.0
33084,0,10.9,16.5,14.0,15.1,3.4,6.0,6.0,8.0,69.0,63.0
33087,1,21.9,29.1,24.6,27.9,9.2,10.6,4.0,2.0,70.0,60.0
33092,0,4.3,16.3,8.9,15.8,2.6,8.6,0.0,2.0,75.0,38.0
33095,0,6.4,22.8,15.1,22.5,2.2,9.5,1.0,7.0,65.0,40.0
33100,0,18.7,28.8,24.5,27.7,7.2,10.6,3.0,1.0,64.0,48.0
33101,1,25.5,31.7,26.7,29.7,6.2,1.2,7.0,7.0,83.0,67.0
33102,0,10.1,15.2,11.0,14.0,0.2,7.5,8.0,4.0,95.0,52.0
33105,1,12.8,19.4,13.4,16.5,7.4,0.7,7.0,7.0,61.0,60.0
33107,0,11.2,20.3,17.9,19.5,4.2,11.0,1.0,1.0,48.0,48.0
33108,0,14.7,23.5,18.9,22.5,2.0,7.0,7.0,5.0,69.0,53.0
33111,0,19.9,24.8,20.6,24.0,10.4,9.7,6.0,2.0,69.0,59.0
33113,0,-1.6,10.5,0.5,9.8,0.6,2.2,6.0,7.0,96.0,55.0
33114,0,17.1,28.5,21.5,20.9,8.4,4.9,7.0,7.0,78.0,67.0
33120,0,8.5,23.4,16.5,22.8,6.4,11.9,1.0,0.0,46.0,30.0
33122,0,7.4,24.7,12.3,24.4,3.2,10.4,0.0,0.0,95.0,36.0
33127,0,13.0,22.1,15.2,20.8,2.0,4.3,5.0,6.0,77.0,69.0
33128,0,11.1,19.2,13.1,18.1,5.6,13.0,6.0,5.0,47.0,29.0
33133,0,11.3,27.9,20.4,26.8,7.8,13.3,0.0,0.0,62.0,47.0
33134,1,11.2,19.2,13.6,18.4,5.4,2.4,8.0,5.0,92.0,41.0
33138,0,5.6,17.3,10.5,16.7,3.6,7.4,1.0,4.0,80.0,48.0
33142,0,23.4,34.9,28.1,32.5,10.6,10.2,2.0,7.0,56.0,39.0
33143,0,18.0,23.8,19.8,20.9,2.4,1.2,7.0,8.0,88.0,86.0
33144,0,16.8,24.9,20.5,23.1,9.8,10.8,3.0,3.0,62.0,53.0
33148,0,21.4,29.3,26.3,26.8,7.4,6.4,4.0,7.0,53.0,59.0
33149,1,13.8,23.0,17.9,22.2,3.6,2.1,7.0,7.0,56.0,48.0
33151,0,7.6,13.7,9.1,13.1,6.0,7.4,6.0,3.0,79.0,52.0
33156,1,8.2,23.3,12.9,15.5,1.8,5.0,7.0,7.0,75.0,86.0
33158,0,6.1,19.7,14.2,16.9,3.4,11.2,7.0,6.0,64.0,46.0
33159,0,22.6,31.8,27.4,29.6,8.0,10.2,4.0,2.0,66.0,56.0
33161,1,25.8,31.9,27.2,29.8,7.8,2.9,7.0,8.0,86.0,70.0
33164,0,9.6,25.9,15.6,23.4,2.8,13.2,1.0,2.0,51.0,28.0
33166,0,12.9,22.8,16.8,20.3,1.9,8.7,1.0,3.0,72.0,59.0
33171,0,7.3,14.2,10.9,13.8,1.0,1.4,8.0,6.0,94.0,72.0
33177,1,6.2,14.0,8.5,13.8,0.8,4.7,8.0,7.0,97.0,66.0
33182,1,4.7,13.3,6.6,12.8,2.0,4.0,4.0,7.0,79.0,54.0
33184,1,4.0,15.7,6.3,14.5,1.4,1.9,7.0,7.0,78.0,56.0
33185,0,8.8,16.1,13.6,15.0,1.4,5.4,6.0,7.0,79.0,65.0
33191,0,10.6,33.3,21.2,31.3,7.2,11.6,1.0,7.0,54.0,23.0
33194,1,23.1,25.3,24.3,23.9,3.6,0.3,7.0,8.0,94.0,92.0
33199,1,26.2,35.1,29.6,32.8,6.0,6.6,6.0,8.0,75.0,67.0
33200,0,9.5,31.4,22.6,30.5,6.2,11.5,0.0,0.0,24.0,10.0
33202,0,15.1,24.6,16.6,23.4,5.4,8.5,7.0,1.0,69.0,42.0
33203,0,5.9,18.2,16.5,16.1,2.2,7.0,5.0,6.0,58.0,65.0
33205,1,9.6,15.5,11.9,15.0,2.2,6.7,7.0,3.0,74.0,40.0
33207,0,19.4,28.8,25.0,27.3,6.2,9.1,3.0,1.0,66.0,59.0
33208,0,8.2,13.1,11.3,12.7,0.8,0.1,8.0,8.0,95.0,75.0
33211,0,7.1,13.5,10.5,11.4,2.2,0.4,7.0,5.0,76.0,74.0
33214,0,25.7,34.1,27.2,33.1,8.8,9.3,7.0,6.0,57.0,39.0
33215,0,18.3,25.5,22.8,25.1,2.8,10.4,1.0,1.0,73.0,62.0
33216,1,9.0,12.1,10.8,11.5,1.6,0.8,4.0,7.0,69.0,70.0
33217,0,7.1,16.4,11.6,15.2,2.4,10.7,1.0,5.0,61.0,46.0
33219,0,19.7,27.3,20.7,26.7,4.4,4.5,8.0,4.0,91.0,41.0
33220,1,22.8,31.8,25.4,31.1,5.4,1.7,7.0,7.0,89.0,62.0
33221,0,20.0,30.8,20.8,30.2,5.8,5.1,7.0,7.0,93.0,53.0
33228,1,25.3,32.2,28.9,31.0,3.6,9.1,5.0,5.0,83.0,71.0
33229,0,4.1,14.7,8.2,13.7,3.2,10.2,0.0,0.0,77.0,40.0
33230,0,20.7,33.4,27.3,32.3,6.6,11.0,1.0,2.0,65.0,44.0
33231,0,5.9,19.7,10.3,18.5,2.4,5.7,6.0,6.0,59.0,27.0
33232,0,13.1,28.9,20.2,28.1,6.6,11.2,1.0,1.0,29.0,12.0
33234,0,20.5,30.1,27.3,29.4,8.8,11.1,2.0,3.0,59.0,53.0
33237,0,11.2,25.5,17.0,24.8,6.0,12.5,2.0,6.0,54.0,28.0
33240,0,10.5,24.5,19.0,22.4,6.4,12.9,1.0,1.0,50.0,45.0
33241,0,7.1,20.9,17.2,19.4,6.0,13.5,5.0,2.0,76.0,66.0
33243,0,9.8,26.5,18.5,25.5,3.6,9.7,1.0,3.0,50.0,35.0
33244,0,10.0,24.4,17.7,22.5,3.2,7.6,1.0,5.0,79.0,53.0
33245,0,22.6,32.3,28.7,29.4,8.0,8.9,4.0,4.0,69.0,69.0
33247,0,11.7,23.0,18.0,22.0,4.2,10.9,1.0,1.0,62.0,51.0
33249,1,16.1,23.8,17.0,22.4,6.6,1.9,8.0,8.0,68.0,53.0
33251,0,6.5,17.6,12.5,16.7,5.2,10.8,3.0,1.0,59.0,52.0
33252,1,18.7,23.5,19.5,23.3,3.4,0.8,8.0,7.0,91.0,71.0
33254,0,9.3,17.7,12.5,16.4,1.0,4.0,8.0,7.0,94.0,62.0
33258,0,8.5,14.9,10.3,13.1,3.6,11.6,3.0,5.0,79.0,59.0
33260,0,20.5,34.6,24.6,34.0,9.4,12.6,1.0,1.0,60.0,35.0
33261,0,18.9,28.1,22.1,27.3,8.0,3.2,7.0,8.0,31.0,26.0
33279,0,6.7,13.3,8.3,12.2,1.0,8.5,2.0,2.0,78.0,73.0
33281,1,24.0,30.1,26.9,28.2,7.8,3.7,7.0,7.0,81.0,66.0
33285,1,25.2,32.4,30.4,30.1,7.4,8.9,2.0,6.0,60.0,60.0
33289,0,12.3,32.6,25.2,31.6,8.2,9.5,4.0,4.0,29.0,15.0
33292,0,14.4,20.3,15.1,18.7,5.6,7.4,1.0,4.0,53.0,51.0
33298,0,14.2,29.2,23.8,25.1,4.0,13.4,0.0,1.0,50.0,49.0
33303,0,14.3,28.3,23.9,27.9,5.0,11.0,1.0,1.0,55.0,41.0
33305,0,3.7,23.8,17.0,22.5,6.6,13.4,5.0,2.0,51.0,39.0
33312,1,-4.7,8.3,1.2,7.9,1.2,2.4,4.0,8.0,76.0,64.0
33321,0,20.9,29.6,26.5,26.5,7.4,7.3,2.0,7.0,63.0,63.0
33323,0,19.3,30.7,25.9,28.9,4.4,10.8,1.0,1.0,67.0,53.0
33324,0,18.8,27.3,22.3,25.3,7.2,5.1,6.0,6.0,76.0,51.0
33327,0,20.9,37.0,26.0,34.5,9.4,10.7,0.0,1.0,43.0,25.0
33328,1,19.8,26.7,22.7,24.3,7.2,7.5,2.0,3.0,66.0,59.0
33329,0,18.3,33.7,27.5,31.7,9.0,10.2,5.0,7.0,36.0,25.0
33330,1,19.9,28.4,24.7,21.3,6.0,1.0,7.0,7.0,59.0,99.0
33331,1,19.5,24.0,20.1,23.5,4.8,1.7,7.0,7.0,89.0,65.0
33334,0,4.1,16.1,6.3,14.7,1.8,10.0,1.0,1.0,79.0,48.0
33341,0,7.8,30.0,21.9,27.3,7.8,12.8,0.0,0.0,38.0,29.0
33344,0,9.8,21.3,16.3,18.9,2.0,9.5,1.0,1.0,59.0,50.0
33350,0,14.3,22.9,16.8,21.2,6.4,8.9,7.0,4.0,73.0,48.0
33352,0,11.4,21.8,17.0,20.1,4.8,10.8,7.0,3.0,61.0,42.0
33353,0,7.7,22.5,11.9,20.7,4.2,4.7,3.0,7.0,68.0,40.0
33355,0,12.4,32.4,21.3,31.3,6.6,9.5,7.0,7.0,64.0,24.0
33359,0,13.6,17.7,14.0,16.0,6.0,0.1,8.0,8.0,100.0,95.0
33361,1,4.3,20.7,10.6,19.3,2.0,5.5,3.0,7.0,67.0,59.0
33369,0,13.4,21.9,16.1,21.1,9.6,11.2,1.0,0.0,43.0,25.0
33370,0,21.0,25.2,22.7,23.4,4.4,5.6,7.0,6.0,83.0,80.0
33371,1,6.5,13.7,8.0,12.1,2.2,2.8,7.0,7.0,68.0,84.0
33373,0,18.6,25.6,23.0,23.4,7.0,6.0,5.0,5.0,59.0,57.0
